subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	mask_flicker	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	target_duration	rt	key	response	is_correct
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	129	1	frame	right	200	0	False	1	right	220.471469829	-18.5253071321	0.6	0.083	316.216234132	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	130	1	frame	left	-200	0	False	1	left	-181.324029305	-10.8866560437	0.6	0.083	316.216234132	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	131	1	frame	right	200	0	False	1	right	210.419670905	-23.188313519	0.6	0.083	298.109380412	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	132	0					False	1	right	179.79415435	12.4121102806	0.6	0.083	311.031818099	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	133	1	sound	left			False	0					0.083	1079.85388806		nogo	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	134	1	sound	left			False	1	left	-192.063067428	-2.33074503281	0.6	0.083	349.336292595	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	135	1	frame	right	200	0	False	1	right	203.584285602	22.7799641873	0.6	0.083	320.362675164	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	136	1	sound	left			False	1	left	-194.261276198	-5.28188259861	0.6	0.083	245.698272134	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	137	1	frame	left	-200	0	False	1	left	-178.773798332	7.91951583908	0.6	0.083	420.711305313	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	138	0					False	1	left	-214.785483549	18.7292491886	0.6	0.083	330.642604778	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	139	1	sound	right			False	1	right	179.074056352	8.12280120325	0.6	0.083	94.2389268748	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	140	1	frame	right	200	0	False	1	right	222.170624022	3.59334373363	0.6	0.083	306.869000298	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	141	0					False	1	left	-217.187712702	16.0094647564	0.6	0.083	369.005957633	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	142	0					False	1	right	197.412708915	-7.52326649333	0.6	0.083	251.317842209	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	143	1	sound	right			False	1	right	187.35372886	-15.0508818044	0.6	0.083	222.156281918	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	144	0					False	1	right	220.090627007	-0.813358682746	0.6	0.083	274.916761191	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	145	1	frame	right	200	0	False	1	right	184.371097116	-11.610703713	0.6	0.083	284.327552465	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	146	1	sound	right			False	1	right	217.694392948	1.37958069656	0.6	0.083	232.579313248	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	147	1	sound	left			False	0					0.083	1085.92381919		nogo	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	148	0					False	1	left	-180.889425105	0.859011018355	0.6	0.083	239.495767179	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	149	1	sound	left			False	1	left	-195.801499011	-2.3702111707	0.6	0.083	286.35359231	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	150	1	frame	right	200	0	False	1	right	193.733355227	1.80156812536	0.6	0.083	304.325922581	 	go	1	0.1
